ano,UF,nome_programa,titulo,resumo,autor
2004,RJ,SOCIOLOGIA E ANTROPOLOGIA,Herdeiros ou sobreviventes: mobilidade social no Ensino Superior no RJ.,"Este estudo procura analisar as chances de obter mobilidade social do curso de Ciências Sociais, comparativamente a outros curso, observando-se o perfil sócio-cultural dos estudantes selecionados para os mesmos. Além disso, procurou-se refletir sobre como a configuração das identidades profissionais que os cursos representam poderia interferir na continuação desse processo, no que tange ã inserção profissional do graduado. Para tal análise, foi necessário fazer uso de dados quantitativos de dois bancos de dados da UFRJ, e dados qualitativos a partir de entrevistas com ex-alunos. Os resultados mostram que não se nota grande mobilidade social entre os alunos dos cursos analisados, até mesmo por já apresentarem um certa condição social. Apesar do curso de Ciências Sociais não ser o que permite maior mobilidade social dentre os cursos analisados, proporcionada pela posse do diploma, é o que apresenta maior probabilidade de mobilidade ocupacional, quando comparado a um outro curso com perfil também acadêmico.",ANA PAULA BARBOSA LEITE
2004,RJ,SOCIOLOGIA E ANTROPOLOGIA,A sociologia volta à escola: um estudo dos manuais de sociologia para o ensino médio no Brasil.,"Essa pesquisa buscou delinear o que se tem proposto para o ensino de sociologia no ensino médio a partir de uma análise interpretativa de quatro entre os manuais didáticos de sociologia para o ensino médio publicados a partir da primeira década de 1980 no Brasil. Descreve  e analisa a estrutura, as principais idéias e a lógica que ordena e orienta os textos dos manuais investigados e sistematiza a produção acadêmica anterior. A dissertação conclui que os manuais da disciplina reproduzem um ensino com forte ênfase conceitual e fundamentado no pressuposto da sociologia como propiciadora de uma consciência crítica interventora sobre a realidade social e relevante para o desenvolvimento da cidadania. Também procura sistematizar a produção recente sobre sociologia no ensino médio a partir da recuperação de quatro dissertações de mestrado, incluindo outros estudos realizados e sugere que o campo das ciências sociais especialmente no ensino médio, é articulado por um sentimento visionário, um sentido civilizacional, não raro entre as teorias e políticas educacionais brasileiras, disso decorre uma linha de continuidade entre esses manuais e os primeiros escritos e publicados por intelectuais brasileiros nas primeiras décadas do século XX. Por fim, essa dissertação discute a indiferença, no campo das ciências sociais, sobre as questões de ensino da própria disciplina e sobre seus manuais.",FLÁVIO MARCOS SILVA SARANDY
2004,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Desigualdades ""Raciais"" e Ensino Superior: Um estudo sobre a introdução das Leis de reserva de vagas para egressos de Escolas Públicas.","Este estudo pretende documentar e analisar a recente introdução de Leis de reserva de vagas para candidatos egressos de escolas públicas e cotas para ""negros e pardos"", nas universidades estaduais fluminenses. A tese analisa a repercussão de tais medidas para professores, reitores, funcionários, estudantes e demais envolvidos diretos e/ou indiretamente em uma das universidades, para a qual as Leis foram aprovadas, a Universidade do Estado do Rio de Janeiro (UERJ). Depois de relatar os eventos que precederam o primeiro vestibular com a Leis de reserva de vagas e cotas, a tese prossegue com uma análise do número de alunos ""negros ou pardos"" que entraram na universidade ou pela sererva de vagas para egressos de escolas públicas ou pelas cotas para ""negros e pardos"". Em seguida examina a reação pública à tais Leis, incluindo processos jurídicos e debates sobre a constitucionalidade das novas Leis, que em parte levaram a UERJ a propor, com êxito, a mudança da legislação reduzindo o número de vagas para negros e para egressos de escolas públicas. Para finalizar, a tese busca apontar, em certa medida, qual o significado da doção da legislação sobre ""cotas para negros"", nas universidades, para as relações raciais na sociedade brasileira como um todo, nos dias atuais.",ELIELMA AYRES MACHADO
2004,SP,SOCIOLOGIA,A ESCOLA: MUNDO ESTRANHO AO PROFESSOR (HISTÓRIA E MEMÓRIA),"Este estudo teve como objetivo principal investigar as implicações das mudanças implementadas pela última reforma educacional realizada no sistema de ensino do Estado de São Paulo a partir de 1996. Partiu-se dos relatos de professoras que vivem e trabalham em São Miguel Paulista, um antigo subúrbio da cidade de São Paulo, e que têm exercido o magistério público há mais de 20 anos. Esses relatos revelam que o mundo escolar tornou-se estranho aos sujeitos, na medida em que estes não vêem acolhidas a concepção de escola e a prática pedagógica que construíram ao longo da vida e da carreira docente. Concluiu-se que além da mais recente reforma realizada no sistema de ensino paulista, contribuíram para intensificar esse estranhamento, as políticas do regime militar e suas implicações para a formação docente e para a degradação das condições de vida no subúrbio.",Celina Fernandes Gonçalves Bruniera
2004,PR,SOCIOLOGIA,REPRESENTAÇÕES SOCIAIS E POLÍTICA DE REFORMA DO ENSINO MÉDIO NO PARANÁ (período de 1996 à 2002),"Esse trabalho analisa as Representações Sociais dos atores sociais diretamente envolvidos no processo de reforma do Ensino Médio do Paraná no período de 1996 á 2002. Tomando como referencial teórico os conceitos trabalhados na representação social, que aborda a relação do sujeito com o espaço social no qual ele está inserido. Este tratou da questão atual da reforma do Ensino Médio no Paraná, que é analisada em contexto mais amplo, partindo das diretrizes propostas nos Parâmetros Curriculares Nacionais que redefinem o universo educacional do ensino médio a partir das relações do mercado de trabalho e de consumo, procurando assim, formar individuo que atenda as novas necessidades e exigências do mercado econômico.",Sandra Ramalho de Paula
2004,RS,SOCIOLOGIA,"Conexões sociológicas entre questão social e a questão criminal: desigualdades, segregação sócio-espacial e delinqüência em Porto Alegre (2000-2003)","A presente pesquisa tem como propósito objetivar uma análise acerca dos condicionantes objetivos, estruturais e institucionais que determinam a distribuição sócio-espacial de apenados, em Porto Alegre, entre os anos de 2000 e 2003. Desse modo, intenta-se construir uma reflexão sociológica que identifique os fatores que revelam maior influência no condicionamento da probabilidade de envolvimento dos indivíduos com a questão criminal. Nesta pesquisa são abordadas quatro modalidades de crime, a saber: tráfico de entorpecentes (art. 12), homicídio doloso (art. 121), furto qualificado (art.155) e roubo (art. 157). A análise é realizada a partir de uma tipologia sócio-espacial construída para Porto Alegre, em função das categorias sócio-ocupacionais predominantes nos diferentes espaços da cidade. Tal tipologia foi desenvolvida por pesquisadores do Núcleo de Estudo Regionais e Urbanos (NERU/FEE), para o estudo das desigualdades sócio-espaciais na região metropolitana e na capital. A pesquisa se justifica tanto do ponto de vista das políticas públicas de segurança, já que se propõe a fornecer uma visão mais acurada do problema do crime, quanto do ponto de vista teórico-metodológico, por abrir novas perspectivas de análise da questão criminal na cidade.",Alexandre da Silva Medeiros
2004,RS,SOCIOLOGIA,Transformações do trabalho e política pública de qualificação profissional: o trabalho em serviços à pessoa.,"Na presente tese busca-se verificar em que medida a ação estatal voltada à formação profissional dos trabalhadores em serviços à pessoa, situados em posições socialmente menos privilegiadas, pode contribuir para a melhoria do desempenho desses indivíduos em suas atividades de trabalho e, no limite, de suas oportunidades de ocupação e rendimento. Em uma perspectiva mais ampla, procura-se refletir acerca das potencialidades de uma política pública de qualificação do trabalhador, tal como o Planfor, em sua implementação do Plano Estadual de Qualificação do Rio Grande de Sul, tomada como parte constitutiva de um projeto de desenvolvimento social democrático , para propiciar a redução das desigualdades sociais no mercado de trabalho, particularmente quanto a relações de gênero, geracionais e por grau de escolaridade.  Em suas linhas gerais, a análise orientou-se pela Teoria da Estruturação formulada por Anthony Giddens. Considera-se o Estado como agente da referida política pública de qualificação cuja atuação, porém, enfrenta as limitações impostas pela estrutura produtiva, pelo mercado de trabalho e também do próprio aparato estatal. Os egressos dos cursos de qualificação oferecidos por essa política pública são também considerados agentes, embora limitados pelos recursos econômicos, sociais e culturais que se encontram ao seu alcance. Na dimensão histórico-sociológica, o estudo destaca as transformações do trabalho, expressas especialmente pela flexibilização das relações de trabalho e pela fragmentação dos coletivos de trabalhadores. É no bojo desse processo que se expandem as atividades de serviços, em que se associam o trabalho da mulher e a ausência de proteção legal. É também nesse contexto que emerge um novo perfil de trabalhador, no que concerne à qualificação profissional. Nesta tese, investiga-se também verificar, quais são os ganhos, entre os egressos dos cursos da área de serviços à pessoa, tanto em termos do desenvolvimento de habilidades específicas e operacionais, quanto em termos de habilidades sociais e pessoais.",Ivonilda Mello Hansen
2004,DF,SOCIOLOGIA,Formação e Fixação de Pesquisadores na Região Norte do Brasil: o Projeto Norte de Pós-Graduação e Pesquisa/Capes,"A presente dissertação de mestrado tem como temática o desequilíbrio existente entre a base técnico-científica que se verifica na região norte do Brasil em relação às demais regiões. Ainda, as conseqüências deste desequilíbrio para o sistema de pós-graduação das IES amazônicas, tendo em vista as dificuldades para o processo de formação e fixação de docentes pesquisadores na região. O objetivo é promover uma análise crítica das ações do Projeto Norte de Pós-Graduação e Pesquisa-PNOPG, a partir da evolução dos índices e indicadores utilizados pela Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior-CAPES, para avaliar a expansão do sistema de pós-graduação no país. A intenção é medir a eficácia deste instrumento de política pública, o PNOPG, na redução dos índices de desequilíbrio da base técnico-científica. Concluímos que as ações do PNOPG foram de fato responsáveis pela expansão do sistema de C&T na Amazônia, no entanto, algumas limitações impediram um avanço maior deste sistema. Estas razões estão ligadas a não participação de alguns setores no processo e a ausência de uma ação conjunta com outros atores interessados no encaminhamento das ações referentes ao Projeto Norte de Pós-Graduação e Pesquisa.",Manoel Santana Cardoso
2004,DF,SOCIOLOGIA,A tendência concentradora do desenvolvimento científico e tecnológico no mundo contemporâneo,"O conhecimento técnico-científico representa no mundo contemporâneo uma base fundamental para o desenvolvimento sócio-econômico das nações. Sua maior ou menor utilização nas estruturas organizacionais e produtivas de cada sociedade pode ser um dos fatores explicativos dos diferentes graus de desenvolvimento alcançados. Sua produção e apropriação encontram-se, entretanto, muito concentradas num grupo de países mais desenvolvidos..Esta tese tem, assim, como objetivo principal dar maior visibilidade e compreensão a essa questão. Para tanto, desenvolve-se, inicialmente, uma análise da organização social da produção do conhecimento e suas transformações mais recentes. Em seguida, mostra-se as grandes diferenças estruturais que existem entre os países considerados desenvolvidos e aqueles em desenvolvimento. São vistos, dessa forma, suas diferentes formações históricas e culturais, as características gerais de seus sistemas de ciência e tecnologia, a maneira como têm sido conduzidas suas políticas científicas e tecnológicas, os resultados obtidos e a configuração dos principais problemas e desafios a serem enfrentados..A comparação entre os dois grupos de países analisados leva ao delineamento de uma forte concentração da produção científica e tecnológica no bloco denominado de Tríade, ou seja, Estados Unidos, Japão e o conjunto de países que formavam a União Européia até 2003. Observa-se, ao mesmo tempo, que esta realidade não é estática. Ela vem experimentando pequenas transformações, seja no âmbito do próprio grupo mais desenvolvido, seja com relação aos países em desenvolvimento. Mas, essas transformações não chegam a alterar substantivamente a situação de alta concentração que se manteve relativamente estável ao longo da última década..Conclui-se, assim, que para que essa tendência não se cristalize ainda mais num futuro próximo, será importante que os países em desenvolvimento passem a implementar políticas públicas, mais incisivas e adequadas às suas realidades,visando maior participação na produção e apropriação do conhecimento. A cooperação internacional mais ajustada aos interesses desses países, bem como o desenvolvimento de ações mais efetivas e eficazes por parte de organismos internacionais poderão vir a contribuir de forma mais significativa para a construção de uma sociedade global mais homogeneamente desenvolvida.",Fernando Antônio Ferreira de Barros
2005,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Informática, educação e desigualdade social nas escolas públicas brasileiras.","Este trabalho analisa como o uso da tecnologia na educação básica brasileira é influenciado pelo contexto cultural. Eu examino como contexto molda a capacidade da tecnologia de melhorar a qualidade e a equidade de educação. Descrevo os impactos que as tecnologias educacionais tem sobre os ambientes onde são utilizadas. Esta pesquisa centrou-se nas iniciativas educacionais difundidas que propõem melhorar a igualdade na educação pública através do uso crescente da tecnologia. Uso uma combinação de observação participativa em sala de aula e congressos educacionais, entrevistas com educadores e administradores, e análise do discurso público sobre o relacionamento entre tecnologia, educação e inclusão social, para analisar os padrões do uso de tecnologia nas escolas brasileiras e seu impacto sobre igualdade.",JULIANE MARIA IDA REMOLD
2005,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Estratégias coletivas em torno da formação universitária: status, igualdade e mobilidade entre desfavorecidos.","Este trabalho tem como tema central a ascensão social de indivíduos em meio à adversidade econômica e cultural. Com a biografia de nove estudantes universitários, procuro demonstrar que seus percursos sociais foram pouco determinados pelo investimento, práticas e estratégias de classificação social presentes em suas configurações familiares. Sugerindo interpretação distinta ao paradigma dominante da Sociologia da Educação e Desigualdades no Brasil, aponto que os filhos das classes populares são mais suscetíveis à conjuntura política, às práticas democráticas da sociedade civil, às políticas públicas, aos blocos de status, aos movimentos sociais, e ao desenvolvimento econômico para que possam chegar estruturalmente ao ensino superior, tornar os diplomas adquiridos mais rentáveis e desenvolver, assim, uma trajetória de sucesso.",GABRIELA DE SOUZA HONORATO
2005,SC,SOCIOLOGIA POLÍTICA,O ProInfo em Santa Catarina: uma análise sociotécnica das capacitações (2002-2004),"Este trabalho tem como objetivo investigar o Programa Nacional de Informática na Educação – ProInfo, que visa introduzir e disseminar o uso das Novas Tecnologias da Comunicação e Informação (NTCI), através da utilização de computadores na rede pública de ensino brasileira. O foco centrou-se nas capacitações realizadas em Santa Catarina, no período 2002-2004, através, principalmente, de um olhar participante em algumas destas. Este interesse decorre das mudanças de ordem política, social, econômica e cultural advindas do alto grau de desenvolvimento alcançado por essas tecnologias nas últimas três décadas. Dentre uma série de implicações neste processo, destaca-se a mudança na própria concepção de trabalho, que passou a demandar uma reorganização do sistema educacional. A hipótese que orientou a nossa pesquisa foi a de que, através de políticas públicas, como o ProInfo, as tecnologias estão sendo constantemente reinventadas numa história que não acaba, mas pelo contrário, que é trasladada, retraduzida, negociada, a partir de conflitos e convergências de interesses. Neste caso, o período de transição política, como o estudado, pode estabelecer, ou não, uma descontinuidade nos processos de estruturação da rede criada para implantar o Programa. Na medida em que o mesmo supõe uma ação educacional de caráter inovador, ele está ainda mais sujeito aos avanços e recuos das instituições públicas. No intuito de subsidiar os nossos questionamentos utilizamo-nos como proposta teórico-metodológica a abordagem ‘Ator-Rede’, tal como desenvolvida por Bruno Latour. Acreditamos que o alto grau de complexidade que se estabelece nas redes-de-atores envolvidas em ações amplas, inovadoras e presentes em todas as esferas da sociedade contemporânea, acabam por gerar uma necessidade de se investigar permanentemente os seus processos de implementação. O que pudemos depreender de tantas mudanças políticas observadas durante o nosso trabalho é que em tais condições se torna difícil conduzir uma política pública conseqüente, que obedeça a um planejamento criterioso e permita alcançar as metas estabelecidas.",Renato Salazar
2005,RS,SOCIOLOGIA,A dinâmica da educação superior: um estudo sobre as universidade do RS.,"Esse trabalho de dissertação tem como objetivo analisar as transformações que ocorrerram na educação superior ao longo dos anos de 1990, realizando, uma abordagem sobre as universidade do Rio Grande do Sul. Na década de 1990 o sistema de ensino superior sofreu uma série de reformulações, provenientes tanto de medidas governamentais de âmbito nacional, quanto de organismos internacionais, ambos interessadas na expansão desse nível de ensino. Com isso, observa-se uma nova fase da educação superior, que, baseada na expansão, trouxe como características a diversidade das isntituições e da oferta de cursos, a flexibildiade curricular e a avaliação. Com o objetivo de investigar como ocorreu  essa nova fase da educação nas universidades públicas  e particulares do RS,  foram analisados dados quantitativos referentes às vagas ofertadas , ao número de matriculados  e cursos de graduação  entre 19994 e 2000, período  em que a educação no Brasil  demonstra  os maiores números  referentes à expansão . No que se refere  à qualidade  da educação superior , foram analisados  os conceitos obtidos  por essas instituições  e seus cursos  de graduação no Exame Nacional  de Cursos, realizados  pelo Ministério  da Educação  entre 1996 e 2002. Também foram  analisados  os perfis  sócio-econômicos  dos alunos de diferentes  áreas  de conhecimento, buscando  observar se ocorreram  mudanças na demanda  por esse nível de enisno. Os resultados  analisados indicam  que as universidades  privadas apresentaram-se como principais  responsáveis por essa  dinâmica de expansão ; enquanto que as públicas  procuraram ""ajustar-se"" à nova demanda da sociedade e do mercado .A singularidade  das universidades  pode ser analisada nos conceitos obtidos  no exame aplicado  pelo Ministério da Educação, indicando  a contradição  entre uma avaliação  homogênia e a diversidade do sistema de ensino. A diversificação  apresentada  pelo sistema  de ensino tambén foi observada no que se refere  ao perifl discente , indicando a absorção de parcelas da população cada vez mais jovens, provenientes de  famílias com um maior montante de capital cultural.",Cassiane Freitas Paixão
2005,RS,SOCIOLOGIA,A discriminação racial em números e palavras. Estudo sobre a aprticipação de negros e brancos no mercado de trabalho do Rio Grande do Sul.,"O tema deste trabalho é a discriminação racial no mercado de trabalho do Rio Grande do Sul. Analisamos a forma de participação dos indivíduos brancos e negros nessa esfera social, procurando investigar a influência da discriminação racial sobre as desigualdades existentes entre esses dois grupos raciais. Verificamos a relação existente entre a desigualdade sócioeconômica e a desigualdade na forma de participação no mercado de trabalho. Por outro lado, apresentamos também exemplos de discriminação racial, ao analisar queixas de crimes de preconceito de cor ou raça registrados nas delegacias de polícia do Rio Grande do Sul entre 1998 e 2003, referente ao cotidiano das relações de trabalho dos indivíduos negros. Assim, pudemos construir uma categorização das queixas de discriminação racial e examinar o discurso racial como forma de construção de uma identidade estigmatizada e estereotipada concebida para os negros",Luciana Garcia de Mello
2006,RJ,SOCIOLOGIA E ANTROPOLOGIA,Inclusão social e assimetria de informação no sistema de Ensino Superior Brasileiro: uma analise comparativa,"Esta dissertação investiga a extensão, as conseqüências e as bases de reprodução da assimetria de informação no Sistema de Ensino Superior brasileiro, valendo-se de alguns contrapontos com a regulação do mercado do ensino superior norte-americano. Analisa a produção e veiculação de informação sobre o ensino superior brasileiro por parte de três atores ou segmentos-chave: o MEC; a comunidade e a mídia. A conclusão é que a assimetria de informação tem sido até agora um non-issue no Brasil; um assunto que não entra em questão nos foros dos três atores estudados e que prejudica desde as escolhas individuais de carreiras e instituições, até o próprio desenvolvimento das instituições e do sistema como um todo.",THAIS SENA SCHETTINO
2006,RJ,SOCIOLOGIA E ANTROPOLOGIA,Educação profissional e aprendizagem do trabalho na nova ordem econômica.,"Esta pesquisa objetiva o estudo e a análise do processo de articulação entre a formação geral e a formação técnica na educação Profissional através das práticas pedagógicas. Para tanto, realizamos uma pesquisa de campo em uma escola técnica de nível médio na cidade de Niterói, Estado do Rio de Janeiro, em que foram entrevistados professores, coordenadores, diretores e orientadores educacionais desta instituição...	A opção por estes profissionais deve-se a iniciativa desta pesquisa de mapear o campo em que se insere a Educação Profissional no processo de formação do trabalhador técnico, a partir da visão daqueles que operacionalizam estas práticas sociais no ambiente escolar...	A análise deste material aponta para uma histórica ""dualidade estrutural"" (KUENZER, 1997) entre a formação geral e a formação técnica nesta modalidade de ensino, acarretando inúmeras contradições entre as exigências colocadas pela nova ordem econômica e o perfil do trabalhador inserido no mundo do trabalho.",MONICA FERREIRA DE FARIAS
2006,SP,SOCIOLOGIA,Os andaimes do novo voluntariado,"Esta dissertação trata do aparecimento, no cenário público da segunda metade da década de 1990, do chamado novo voluntariado. Tomando essa emergência como resultado de esforços de definição, divulgação e convite ao envolvimento com ele, o texto se desenvolve no sentido de apresentar o novo voluntariado como uma construção e não como resultado da soma de iniciativas pessoais espontâneas, incentivadas por um sentimento cívico individualmente gestado.A construção de novo voluntariado foi considerada em duas vertentes: a primeira é a das relações entre atores que deram sustentação e visibilidade ao novo voluntariado como opção de ação de enfrentamento de problemas sociais, especificamente os relacionados ao aumento da desigualdade. Os principais promotores de suas idéias foram o Comunidade Solidária e o Programa Voluntários (criados no primeiro mandato do presidente Fernando Henrique Cardoso e atrelados à esfera estatal) e os empresários que passaram a atuar no que se convencionou chamar de responsabilidade social das empresas. A segunda face dessa construção é a da idéia mesma de novidade, que define o trabalho voluntário desse período como uma ação que se diferencia de outras anteriores (desde ações filantrópicas até ações que remetam aos moldes de movimentos sociais ou organizações coletivas de reivindicação) e sinaliza um momento de amadurecimento e aperfeiçoamento nas formas de participação social. O texto está dividido em três capítulos: o primeiro descreve o trabalho voluntário tal como apresentado pela fala das instituições e atores que o promoveram, bem como o contexto em que ela se deu. Fala-se, portanto, em terceiro setor, organizações não governamentais, cidadania empresarial. O segundo capítulo dedica-se à descrição de como as relações entre os atores promotores do novo voluntariado nos anos de 1990 incidiram, em momentos históricos anteriores, sobre o entendimento e o tratamento de problemas sociais e sobre o funcionamento da área de atuação das instituições dedicadas a eles. Foram adicionados dois outros atores de presença tradicional na área social e que não figuram entre os promotores do novo voluntariado: a Igreja Católica e os profissionais do Serviço Social. São retomadas, desta maneira, as relações entre esses quatro atores - Estado, empresários, Igreja e profissionais do Serviço Social - nas décadas de 1930, 1960 e 1990, de modo que o que se define como sendo novo no voluntariado possa ser considerado a partir dessa perspectiva. No terceiro capítulo, a análise da configuração das relações entre aqueles atores e da elaboração da imagem e do discurso do novo voluntariado é aprofundada e estabelece conexões entre esse processo de construção e questões mais amplas relacionadas à reestruturação do Estado e garantia de direitos",Marcia Pereira Cunha
2006,SP,SOCIOLOGIA,Palavra e terra: princípios de uma pedagogia guarani,"O objetivo desta pesquisa foi o de fazer uma análise da percepção dos Guarani da Aldeia Ribeirão Silveiras, localizada entre os municípios de São Sebastião e Bertioga litoral norte de São Paulo, sobre a existência de uma instituição social alheia a seus costumes tradicionais, como a escola. Por outro lado, investigamos os processos tradicionais da educação guarani, tentando compreender a participação dos remanescentes da Mata Atlântica neste processo, como também a influência do mito. Demonstramos que a educação tradicional dos Guarani deve ser compreendida como a junção da “palavra guarani” com a “terra guarani” criando, desta forma, como pano de fundo, uma explicação mítica do mundo e que a escola para eles tem como função instrumental a “tradução” dos conhecimentos da sociedade não indígena. Palavras chaves: Mito, Terra sem Mal, Educação, Escola, Guarani, Mata Atlântica.",Marivaldo Aparecido de Carvalho
2007,PB,SOCIOLOGIA,Experiências Individuais de Envelhecimento: estigmas e a alfabetização na terceira idade.,"O presente trabalho é o resultado de minha pesquisa sobre as experiências de alfabetização para idosos beneficiados por políticas de inclusão e participação em grupos para terceira idade. A metodologia etnográfica baseou-se em observação direta da prática pedagógica no projeto de Educação de Jovens e Adultos realizado no Centro Municipal de Convivência do Idoso da Prefeitura Municipal de Campina Grande – PB, no período de 2006. As conclusões permitem mostrar que mesmo tardiamente a educação é benéfica, trazendo resultados positivos para os idosos. Além disso, verificou-se que a alfabetização contribuiu para qualificar o idoso, tornando-o um novo cidadão, consciente de seus direitos, melhor sintonizado com as transformações sociais e mais determinados a lutar contra preconceitos.",Elânia de Moura Rocha
2007,PE,SOCIOLOGIA,ARTICULAÇÃO ENTRE DISCURSOS GLOBAIS E LOCAIS NA DEFINIÇÃO DA INTERPRETAÇÃO LEGÍTIMA DE UNIVERSIDADE NAS PROPOSTAS DE REFORMA DA EDUCAÇÃO SUPERIOR NO BRASIL,"Inserida no campo de estudos sociológicos sobre o papel da instituição universitária na sociedade contemporânea, esta tese problematiza questões relativas à construção social de discursos sobre a universidade por parte de organismos e instituições internacionais e entidades nacionais no contexto de reforma da educação superior em curso no Brasil, tendo como unidade de análise quarenta propostas de reforma da educação superior, vinte e duas internacionais e dezoito nacionais.  O processo de análise contempla os discursos em contenda, as temáticas colocadas na agenda de discussão sobre a reforma e seus protagonistas, considerados interlocutores autorizados e legítimos, partícipes do campo da educação superior brasileiro. A abordagem sociológica bourdieusiana constitui a referência teórico-metodológica principal, cujas noções e conceitos, como campo, posição, condições materiais e simbólicas são utilizados no estudo dos discursos dos interlocutores da reforma, análise complementada com a proposta teórica de Fairclough, o qual focaliza o discurso a partir da consideração de três momentos interdependentes: o discurso como texto, como prática discursiva e como prática social. A análise se volta para as temáticas colocadas na agenda de debate; a relação entre as temáticas e seus interlocutores; as concepções de educação superior, sobretudo, de universidade, defendidas por esses interlocutores; as orientações/recomendações indicadas para a reestruturação da universidade na sociedade brasileira e as posições, no campo em referência, equivalentes e divergentes quanto à matéria. A disputa pela definição da interpretação legítima de universidade depende do poder de mobilização dos interlocutores, avaliado, nesta tese, em termos do acolhimento ou não de suas propostas nas versões do anteprojeto de lei e no PL 7.200/2006 do MEC. São utilizadas, também, referências discursivas globais, representadas pelo BIRD, UNESCO, OMC e agentes e instituições do Processo de Bolonha nas estratégias de luta dos interlocutores nacionais, fundamentando suas posições sobre as concepções de universidade. Entretanto, não se pode afirmar, apenas, que existe uma reprodução de interpretações, advindas de campos exteriores ao brasileiro. Há, por outro lado, a presença de temas globais, os quais se impõem nas propostas de reforma dos interlocutores nacionais e de temas específicos, próprios do campo da educação superior brasileiro.  Configura-se, pois, uma articulação entre discursos globais e locais nas diferentes propostas de reforma nacionais, no processo de luta em torno da concepção de universidade, onde, somente, algumas instituições detêm as condições materiais e simbólicas, necessárias à definição social legítima de instituição universitária.",MARIA CREUSA DE ARAÚJO BORGES
2007,RJ,SOCIOLOGIA E ANTROPOLOGIA,Novas tecnologias do ponto de vista docente.,"O presente trabalho visa apreender a relação entre novas tecnologias de informação e de educação. Considerada uma grande promessa na diminuição das desigualdades, a tecnologia ataca diretamente a eficiência, o aprendizado e o aperfeiçoamento dos professores. Essa relação é observada a partir da visão do docente, entendendo que os professores são os agentes viabilizadores da introdução da tecnologia e podem fornecer pistas da forma como a tecnologia é usada nas escolas, questão principal a ser elucidada neste tema. Como qualquer outro recurso ou inovação escolar, a sua implantação é influenciada pelo contexto social que o cerca. E, neste sentido, a abordagem dos estabelecimentos escolares , cujo pressuposto é de que as escolas podem fazer a diferença na trajetória escolar dos estudante, permite, de maneira dinâmica, perceber que todas as decisões são permeadas pelas interações individuais em todos os níveis, desde a sala de aula até o âmbito institucional.",CARLA RENATA BRAGA CORREA
2007,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Nem sucesso, nem fracasso: uma abordagem etnográfica de uma escola.",Esta dissertação é fruto de um estudo de caso intensivo em uma escola na periferia de um município da Baixada Fluminense/RJ durante os anos 2003/2005. A partir da análise do ambiente da escola como um todo é apresentado  um breve panorama da situação educacional no Rio de Janeiro.,MARISA SANTANA DA ENCARNAÇÃO
2007,RJ,SOCIOLOGIA E ANTROPOLOGIA,Operários negros - Relação entre cor e trabalho na nova indústria automotiva do Rio de Janeiro.,"Este trabalho tem como objetivo compreender as trajetórias profissionais de operários negros da indústria automobilística no Rio de Janeiro. Faço uma análise das desigualdades raciais no mercado de trabalho observando, por  um lado, os impactos econômicos e sociais ocasionados pela reestruturação da produção e das relações de trabalho e, por outro, as transformações ocorridas no modelo de relações raciais brasileiro...Utilizando a perspectiva analítica das desigualdades de oportunidades para negros e brancos no mercado de trabalho, pretendo demonstrar que apesar das transformações que vêm ocorrendo no campo do trabalho terem significado ampliação do mercado para todos os trabalhadores independente da cor/raça, verifica-se no caso estudado a reprodução das desigualdades de oportunidades entre negros e brancos no acesso e na qualidade das ocupações do setor industrial automotivo.",ALINE DE OLIVEIRA GONÇALVES
2007,PR,SOCIOLOGIA,EDUCAÇÃO E RELAÇÕES RACIAIS: UM ESTUDO DE CASO,"Esta pesquisa teve como pano de fundo as reflexões em relação ao tema das relações étnico-raciais no Brasil. O foco central de estudo foram as relações raciais e as práticas educativas em uma escola pública de Curitiba. Delimitou-se como universo de pesquisa o estudo de caso uma escola localizada na periferia da cidade de Curitiba. A partir de uma abordagem qualitativa de natureza interpretativa, foram entrevistados pedagogos, professores, funcionários e alunos para saber como se dão as relações étnico-raciais na escola. Analisou-se também como as práticas docentes têm contribuído para a discussão do papel da escola (problematizadora/reprodutora) em relação às práticas discriminatórias a negros no ambiente escolar. Além disso, à luz da lei 10.639 de 2003 sobre o ensino de História e Cultura Afro-Brasileiras, analisou-se como estão representados o negro e a história da África nos livros didáticos de história de 6ª e 7ª séries, qual é a visão dos professores e qual vem sendo sua prática pedagógica em sala de aula. A pesquisa evidenciou elementos que reafirmaram as hipóteses levantadas: formas de silenciamento da questão racial e de práticas discriminatórias na escola; a idéia de democracia racial brasileira perpassando o ambiente escolar; os livros didáticos analisados não avançaram na problematização e na desconstrução das imagens negativas dos negros, que ainda estão associadas à escravidão e à inferioridade do negro na formação cultural do País, principal reivindicação dos movimentos negros desde a década de 70; a lei 10.639/03, apesar de quatro anos de sua aprovação, é pouco conhecida e não está sendo colocada em prática pelos professores desta escola; há formas de racismo explícito e implícito no ambiente escolar, negado pelos professores, denotando estarem pouco preparados para lidar com a questão racial em sala de aula. No final da pesquisa, evidenciamos a importância da lei 10.639/03 para contribuir na problematização das relações raciais e apontar novos caminhos para diminuir as grandes diferenças sociais existentes no interior das escolas de todo o Brasil.",Abel Ribeiro dos Santos
